session_id,user_id,session_start,session_end,session_date,event_count
sess_00026,user_0005,2024-12-29 20:02:00,2024-12-29 20:33:00,2024-12-29,6
sess_00027,user_0005,2024-07-24 19:02:00,2024-07-24 19:06:00,2024-07-24,6
sess_00028,user_0005,2024-06-07 20:52:00,2024-06-07 21:05:00,2024-06-07,4
sess_00029,user_0005,2024-01-31 19:33:00,2024-01-31 19:47:00,2024-01-31,3
sess_00030,user_0005,2024-09-16 09:11:00,2024-09-16 09:11:00,2024-09-16,8
sess_00031,user_0005,2024-08-23 17:57:00,2024-08-23 18:16:00,2024-08-23,7
sess_00032,user_0005,2024-03-07 09:07:00,2024-03-07 09:10:00,2024-03-07,7
sess_00033,user_0006,2024-10-31 08:49:00,2024-10-31 08:50:00,2024-10-31,3
sess_00034,user_0006,2024-07-05 10:55:00,2024-07-05 12:04:00,2024-07-05,3
sess_00035,user_0006,2024-09-25 19:49:00,2024-09-25 21:22:00,2024-09-25,5
sess_00036,user_0006,2024-04-21 17:48:00,2024-04-21 18:30:00,2024-04-21,4
sess_00037,user_0006,2024-04-22 17:56:00,2024-04-22 18:05:00,2024-04-22,5
sess_00038,user_0006,2024-12-02 09:38:00,2024-12-02 09:40:00,2024-12-02,6
sess_00039,user_0006,2024-08-04 08:11:00,2024-08-04 08:37:00,2024-08-04,3
sess_00040,user_0006,2024-05-06 18:36:00,2024-05-06 18:53:00,2024-05-06,8
sess_00041,user_0006,2024-07-11 18:18:00,2024-07-11 18:21:00,2024-07-11,6
sess_00042,user_0006,2024-10-21 08:05:00,2024-10-21 08:25:00,2024-10-21,8
sess_00043,user_0006,2024-12-17 10:07:00,2024-12-17 10:07:00,2024-12-17,7
sess_00044,user_0007,2024-07-22 17:46:00,2024-07-22 18:37:00,2024-07-22,7
sess_00045,user_0007,2024-09-14 12:33:00,2024-09-14 12:38:00,2024-09-14,6
sess_00046,user_0007,2024-12-28 18:31:00,2024-12-28 18:52:00,2024-12-28,5
sess_00047,user_0007,2024-06-25 09:01:00,2024-06-25 09:08:00,2024-06-25,5
sess_00048,user_0007,2024-09-18 13:35:00,2024-09-18 13:50:00,2024-09-18,8
sess_00049,user_0007,2024-11-12 13:49:00,2024-11-12 13:58:00,2024-11-12,2
sess_00050,user_0007,2024-09-20 14:46:00,2024-09-20 14:50:00,2024-09-20,6
sess_00051,user_0007,2024-12-14 15:58:00,2024-12-14 17:07:00,2024-12-14,5
sess_00052,user_0007,2024-11-09 13:29:00,2024-11-09 14:01:00,2024-11-09,8
sess_00053,user_0007,2024-08-17 17:43:00,2024-08-17 18:35:00,2024-08-17,4
sess_00054,user_0007,2024-07-02 13:24:00,2024-07-02 14:01:00,2024-07-02,3
sess_00055,user_0008,2024-12-11 09:55:00,2024-12-11 10:06:00,2024-12-11,8
sess_00056,user_0008,2024-10-15 15:53:00,2024-10-15 16:21:00,2024-10-15,4
sess_00057,user_0008,2024-10-15 20:02:00,2024-10-15 20:02:00,2024-10-15,5
sess_00058,user_0009,2024-08-12 11:21:00,2024-08-12 11:23:00,2024-08-12,5
sess_00059,user_0009,2024-07-29 16:43:00,2024-07-29 16:43:00,2024-07-29,3
sess_00060,user_0010,2024-06-26 08:19:00,2024-06-26 08:27:00,2024-06-26,2
sess_00061,user_0010,2024-08-21 15:56:00,2024-08-21 16:07:00,2024-08-21,2
sess_00062,user_0010,2024-11-12 19:19:00,2024-11-12 19:26:00,2024-11-12,2
sess_00063,user_0010,2024-11-07 11:20:00,2024-11-07 12:12:00,2024-11-07,3
sess_00064,user_0010,2024-08-17 20:28:00,2024-08-17 20:44:00,2024-08-17,7
sess_00065,user_0010,2024-11-03 16:32:00,2024-11-03 16:39:00,2024-11-03,2
sess_00066,user_0010,2024-10-15 13:17:00,2024-10-15 13:40:00,2024-10-15,3
sess_00067,user_0010,2024-06-15 12:39:00,2024-06-15 12:43:00,2024-06-15,4
sess_00068,user_0010,2024-09-25 18:03:00,2024-09-25 18:39:00,2024-09-25,2
sess_00069,user_0010,2024-09-14 14:11:00,2024-09-14 14:13:00,2024-09-14,7
sess_00070,user_0010,2024-07-17 19:48:00,2024-07-17 22:22:00,2024-07-17,7
sess_00071,user_0010,2024-11-22 15:06:00,2024-11-22 15:58:00,2024-11-22,5
sess_00072,user_0010,2024-07-03 17:16:00,2024-07-03 17:22:00,2024-07-03,4
sess_00073,user_0010,2024-08-19 15:31:00,2024-08-19 15:31:00,2024-08-19,2
sess_00074,user_0010,2024-08-25 15:29:00,2024-08-25 16:35:00,2024-08-25,8
sess_00075,user_0010,2024-12-23 19:50:00,2024-12-23 20:17:00,2024-12-23,2
sess_00076,user_0010,2024-06-15 20:19:00,2024-06-15 21:07:00,2024-06-15,6
sess_00077,user_0010,2024-10-15 10:30:00,2024-10-15 11:22:00,2024-10-15,5
sess_00078,user_0010,2024-09-16 17:50:00,2024-09-16 17:52:00,2024-09-16,4
sess_00079,user_0010,2024-06-16 19:59:00,2024-06-16 20:15:00,2024-06-16,7
sess_00080,user_0010,2024-06-21 15:11:00,2024-06-21 15:14:00,2024-06-21,4
sess_00081,user_0010,2024-12-22 17:49:00,2024-12-22 19:06:00,2024-12-22,8
sess_00082,user_0010,2024-12-07 18:51:00,2024-12-07 19:12:00,2024-12-07,2
sess_00083,user_0010,2024-09-20 16:18:00,2024-09-20 16:32:00,2024-09-20,5
sess_00084,user_0010,2024-08-17 12:36:00,2024-08-17 12:37:00,2024-08-17,8
sess_00085,user_0010,2024-09-08 10:54:00,2024-09-08 11:06:00,2024-09-08,4
sess_00086,user_0010,2024-05-28 19:35:00,2024-05-28 19:49:00,2024-05-28,8
sess_00087,user_0010,2024-08-17 19:24:00,2024-08-17 20:10:00,2024-08-17,5
sess_00088,user_0010,2024-09-26 10:12:00,2024-09-26 10:49:00,2024-09-26,6
sess_00089,user_0010,2024-11-15 10:08:00,2024-11-15 10:57:00,2024-11-15,2
sess_00090,user_0010,2024-07-03 19:56:00,2024-07-03 20:18:00,2024-07-03,5
sess_00091,user_0010,2024-09-11 15:57:00,2024-09-11 16:01:00,2024-09-11,8
sess_00092,user_0010,2024-09-20 14:22:00,2024-09-20 14:59:00,2024-09-20,3
sess_00093,user_0010,2024-10-22 15:54:00,2024-10-22 16:48:00,2024-10-22,7
sess_00094,user_0010,2024-06-06 17:30:00,2024-06-06 18:01:00,2024-06-06,7
sess_00095,user_0010,2024-10-09 20:49:00,2024-10-09 21:38:00,2024-10-09,4
sess_00096,user_0010,2024-10-31 09:15:00,2024-10-31 09:39:00,2024-10-31,5
sess_00097,user_0010,2024-08-23 16:49:00,2024-08-23 17:05:00,2024-08-23,2
sess_00098,user_0010,2024-09-25 17:46:00,2024-09-25 18:04:00,2024-09-25,4
sess_00099,user_0010,2024-06-06 19:59:00,2024-06-06 19:59:00,2024-06-06,6
sess_00100,user_0011,2024-11-02 20:47:00,2024-11-02 20:48:00,2024-11-02,6
sess_00101,user_0011,2024-10-30 12:08:00,2024-10-30 12:08:00,2024-10-30,6
sess_00102,user_0011,2024-09-27 18:28:00,2024-09-27 18:46:00,2024-09-27,4
sess_00103,user_0011,2024-08-28 13:05:00,2024-08-28 13:11:00,2024-08-28,3
sess_00104,user_0011,2024-12-03 20:24:00,2024-12-03 20:35:00,2024-12-03,3
sess_00105,user_0011,2024-11-16 08:41:00,2024-11-16 09:25:00,2024-11-16,4
sess_00106,user_0011,2024-12-19 12:30:00,2024-12-19 12:36:00,2024-12-19,7
sess_00107,user_0011,2024-12-09 08:18:00,2024-12-09 08:29:00,2024-12-09,8
sess_00108,user_0011,2024-12-08 17:58:00,2024-12-08 18:28:00,2024-12-08,7
sess_00109,user_0011,2024-11-28 15:49:00,2024-11-28 15:54:00,2024-11-28,7
sess_00110,user_0011,2024-08-22 18:00:00,2024-08-22 18:00:00,2024-08-22,1
sess_00111,user_0012,2024-09-27 09:43:00,2024-09-27 09:49:00,2024-09-27,5
sess_00112,user_0012,2024-05-22 17:05:00,2024-05-22 17:07:00,2024-05-22,2
sess_00113,user_0012,2024-12-15 11:38:00,2024-12-15 12:34:00,2024-12-15,7
sess_00114,user_0012,2024-10-28 17:51:00,2024-10-28 18:18:00,2024-10-28,3
sess_00115,user_0012,2024-09-12 18:59:00,2024-09-12 19:11:00,2024-09-12,2
sess_00116,user_0012,2024-07-25 20:27:00,2024-07-25 21:10:00,2024-07-25,7
sess_00117,user_0012,2024-08-09 08:16:00,2024-08-09 08:51:00,2024-08-09,8
sess_00118,user_0012,2024-10-28 15:06:00,2024-10-28 15:09:00,2024-10-28,3
sess_00119,user_0012,2024-10-27 09:58:00,2024-10-27 10:42:00,2024-10-27,5
sess_00120,user_0012,2024-11-18 12:49:00,2024-11-18 13:03:00,2024-11-18,4
sess_00121,user_0013,2024-12-24 14:17:00,2024-12-24 14:44:00,2024-12-24,3
sess_00122,user_0013,2024-12-04 19:49:00,2024-12-04 20:33:00,2024-12-04,5
sess_00123,user_0013,2024-09-30 14:44:00,2024-09-30 14:51:00,2024-09-30,8
sess_00124,user_0013,2024-12-19 18:05:00,2024-12-19 18:06:00,2024-12-19,4
sess_00125,user_0014,2024-12-05 10:35:00,2024-12-05 10:38:00,2024-12-05,2
sess_00126,user_0014,2024-12-12 19:24:00,2024-12-12 19:30:00,2024-12-12,2
sess_00127,user_0014,2024-12-21 19:12:00,2024-12-21 19:40:00,2024-12-21,3
sess_00128,user_0014,2024-12-30 11:31:00,2024-12-30 12:10:00,2024-12-30,5
sess_00129,user_0014,2024-12-21 08:02:00,2024-12-21 08:02:00,2024-12-21,4
sess_00130,user_0014,2024-12-06 20:41:00,2024-12-06 20:55:00,2024-12-06,7
sess_00131,user_0014,2024-11-25 19:09:00,2024-11-25 19:19:00,2024-11-25,5
sess_00132,user_0014,2024-12-01 08:11:00,2024-12-01 08:16:00,2024-12-01,7
sess_00133,user_0014,2024-11-27 09:07:00,2024-11-27 09:09:00,2024-11-27,5
sess_00134,user_0014,2024-12-20 13:51:00,2024-12-20 13:59:00,2024-12-20,8
sess_00135,user_0014,2024-12-06 20:02:00,2024-12-06 21:01:00,2024-12-06,6
sess_00136,user_0014,2024-12-19 10:44:00,2024-12-19 10:50:00,2024-12-19,4
sess_00137,user_0014,2024-12-30 08:08:00,2024-12-30 08:17:00,2024-12-30,2
sess_00138,user_0015,2024-10-04 09:00:00,2024-10-04 09:09:00,2024-10-04,2
sess_00139,user_0015,2024-12-27 17:56:00,2024-12-27 18:00:00,2024-12-27,4
sess_00140,user_0015,2024-12-21 12:33:00,2024-12-21 13:12:00,2024-12-21,4
sess_00141,user_0016,2024-07-19 19:31:00,2024-07-19 21:06:00,2024-07-19,6
sess_00142,user_0016,2024-07-25 09:33:00,2024-07-25 09:38:00,2024-07-25,2
sess_00143,user_0016,2024-08-08 15:49:00,2024-08-08 16:09:00,2024-08-08,7
sess_00144,user_0016,2024-12-16 15:11:00,2024-12-16 15:19:00,2024-12-16,3
sess_00145,user_0016,2024-09-10 11:27:00,2024-09-10 11:35:00,2024-09-10,4
sess_00146,user_0016,2024-05-14 16:11:00,2024-05-14 16:11:00,2024-05-14,3
sess_00147,user_0016,2024-05-24 11:46:00,2024-05-24 12:11:00,2024-05-24,5
sess_00148,user_0017,2024-10-11 20:07:00,2024-10-11 20:14:00,2024-10-11,4
sess_00149,user_0017,2024-10-07 14:57:00,2024-10-07 14:57:00,2024-10-07,3
sess_00150,user_0017,2024-09-18 14:09:00,2024-09-18 14:11:00,2024-09-18,3
sess_00151,user_0017,2024-10-29 10:29:00,2024-10-29 10:59:00,2024-10-29,7
sess_00152,user_0017,2024-11-23 08:17:00,2024-11-23 08:19:00,2024-11-23,3
sess_00153,user_0018,2024-07-01 12:38:00,2024-07-01 12:40:00,2024-07-01,3
sess_00154,user_0018,2024-09-24 11:05:00,2024-09-24 11:17:00,2024-09-24,5
sess_00155,user_0018,2024-09-01 12:00:00,2024-09-01 13:30:00,2024-09-01,7
sess_00156,user_0018,2024-12-29 17:09:00,2024-12-29 17:14:00,2024-12-29,6
sess_00157,user_0018,2024-09-12 08:27:00,2024-09-12 08:49:00,2024-09-12,6
sess_00158,user_0018,2024-09-25 20:00:00,2024-09-25 20:23:00,2024-09-25,3
sess_00159,user_0019,2024-11-05 08:30:00,2024-11-05 08:33:00,2024-11-05,7
sess_00160,user_0019,2024-12-23 20:08:00,2024-12-23 20:24:00,2024-12-23,7
sess_00161,user_0020,2024-11-13 08:18:00,2024-11-13 08:26:00,2024-11-13,5
sess_00162,user_0020,2024-03-28 17:56:00,2024-03-28 18:14:00,2024-03-28,4
sess_00163,user_0020,2024-04-12 14:23:00,2024-04-12 14:43:00,2024-04-12,5
sess_00164,user_0020,2024-11-28 19:04:00,2024-11-28 19:19:00,2024-11-28,6
sess_00165,user_0020,2024-10-17 19:48:00,2024-10-17 19:49:00,2024-10-17,6
sess_00166,user_0020,2024-09-19 12:03:00,2024-09-19 12:25:00,2024-09-19,2
sess_00167,user_0020,2024-10-21 16:33:00,2024-10-21 16:40:00,2024-10-21,8
sess_00168,user_0020,2024-03-20 11:57:00,2024-03-20 12:01:00,2024-03-20,5
sess_00169,user_0020,2024-03-26 09:10:00,2024-03-26 09:10:00,2024-03-26,4
sess_00170,user_0020,2024-05-30 16:40:00,2024-05-30 16:51:00,2024-05-30,2
sess_00171,user_0020,2024-11-19 10:30:00,2024-11-19 10:51:00,2024-11-19,4
sess_00172,user_0020,2024-03-19 08:55:00,2024-03-19 08:55:00,2024-03-19,8
sess_00173,user_0021,2024-12-30 16:28:00,2024-12-30 16:36:00,2024-12-30,5
sess_00174,user_0021,2024-12-22 11:30:00,2024-12-22 11:32:00,2024-12-22,4
sess_00175,user_0021,2024-12-28 10:39:00,2024-12-28 10:49:00,2024-12-28,3
sess_00176,user_0022,2024-12-24 18:50:00,2024-12-24 18:51:00,2024-12-24,3
sess_00177,user_0023,2024-05-02 15:16:00,2024-05-02 15:37:00,2024-05-02,4
sess_00178,user_0023,2024-08-08 13:09:00,2024-08-08 13:18:00,2024-08-08,4
sess_00179,user_0023,2024-04-30 08:25:00,2024-04-30 09:20:00,2024-04-30,5
sess_00180,user_0023,2024-12-03 16:21:00,2024-12-03 16:23:00,2024-12-03,7
sess_00181,user_0023,2024-10-11 13:44:00,2024-10-11 13:49:00,2024-10-11,2
sess_00182,user_0024,2024-12-05 09:19:00,2024-12-05 09:19:00,2024-12-05,2
sess_00183,user_0025,2024-08-13 09:20:00,2024-08-13 10:18:00,2024-08-13,2
sess_00184,user_0025,2024-10-10 16:14:00,2024-10-10 17:36:00,2024-10-10,8
sess_00185,user_0025,2024-08-22 11:31:00,2024-08-22 11:40:00,2024-08-22,4
sess_00186,user_0025,2024-10-31 13:25:00,2024-10-31 13:57:00,2024-10-31,3
sess_00187,user_0025,2024-05-17 12:22:00,2024-05-17 13:19:00,2024-05-17,4
sess_00188,user_0025,2024-11-16 15:47:00,2024-11-16 16:15:00,2024-11-16,5
sess_00189,user_0025,2024-08-28 10:53:00,2024-08-28 11:20:00,2024-08-28,6
sess_00190,user_0025,2024-12-22 16:21:00,2024-12-22 16:27:00,2024-12-22,2
sess_00191,user_0025,2024-06-05 08:26:00,2024-06-05 08:29:00,2024-06-05,7
sess_00192,user_0025,2024-06-18 11:11:00,2024-06-18 12:40:00,2024-06-18,8
sess_00193,user_0025,2024-10-04 19:29:00,2024-10-04 20:37:00,2024-10-04,3
sess_00194,user_0025,2024-07-29 18:53:00,2024-07-29 19:31:00,2024-07-29,7
sess_00195,user_0025,2024-10-26 11:01:00,2024-10-26 11:10:00,2024-10-26,2
sess_00196,user_0025,2024-05-31 17:47:00,2024-05-31 18:01:00,2024-05-31,4
sess_00197,user_0025,2024-07-19 18:43:00,2024-07-19 19:29:00,2024-07-19,5
sess_00198,user_0025,2024-07-19 10:37:00,2024-07-19 11:28:00,2024-07-19,2
sess_00199,user_0025,2024-12-24 19:08:00,2024-12-24 20:21:00,2024-12-24,4
sess_00200,user_0025,2024-10-23 13:03:00,2024-10-23 13:54:00,2024-10-23,4
sess_00201,user_0025,2024-11-26 18:11:00,2024-11-26 18:51:00,2024-11-26,8
sess_00202,user_0025,2024-11-08 19:23:00,2024-11-08 19:24:00,2024-11-08,2
sess_00203,user_0025,2024-12-10 10:00:00,2024-12-10 10:04:00,2024-12-10,3
sess_00204,user_0025,2024-09-15 14:21:00,2024-09-15 15:29:00,2024-09-15,3
sess_00205,user_0025,2024-07-09 11:50:00,2024-07-09 12:24:00,2024-07-09,6
sess_00206,user_0025,2024-06-02 09:52:00,2024-06-02 09:52:00,2024-06-02,3
sess_00207,user_0025,2024-11-06 13:08:00,2024-11-06 13:11:00,2024-11-06,8
sess_00208,user_0025,2024-06-13 11:08:00,2024-06-13 11:50:00,2024-06-13,8
sess_00209,user_0026,2024-11-20 08:49:00,2024-11-20 08:49:00,2024-11-20,5
sess_00210,user_0026,2024-12-28 16:37:00,2024-12-28 16:38:00,2024-12-28,2
sess_00211,user_0026,2024-12-02 08:04:00,2024-12-02 08:12:00,2024-12-02,4
sess_00212,user_0026,2024-11-29 17:57:00,2024-11-29 18:08:00,2024-11-29,3
sess_00213,user_0026,2024-11-25 19:17:00,2024-11-25 19:29:00,2024-11-25,6
sess_00214,user_0026,2024-12-22 09:06:00,2024-12-22 09:08:00,2024-12-22,8
sess_00215,user_0026,2024-12-20 08:46:00,2024-12-20 08:46:00,2024-12-20,1
sess_00216,user_0027,2024-11-21 13:44:00,2024-11-21 13:47:00,2024-11-21,6
sess_00217,user_0027,2024-10-26 11:32:00,2024-10-26 11:35:00,2024-10-26,3
sess_00218,user_0028,2024-10-11 09:33:00,2024-10-11 09:46:00,2024-10-11,3
sess_00219,user_0028,2024-11-03 19:02:00,2024-11-03 19:09:00,2024-11-03,2
sess_00220,user_0028,2024-09-20 12:29:00,2024-09-20 12:52:00,2024-09-20,6
sess_00221,user_0028,2024-10-01 11:54:00,2024-10-01 12:02:00,2024-10-01,2
sess_00222,user_0028,2024-09-16 10:00:00,2024-09-16 10:06:00,2024-09-16,2
sess_00223,user_0029,2024-10-17 18:43:00,2024-10-17 18:43:00,2024-10-17,2
sess_00224,user_0029,2024-09-16 19:37:00,2024-09-16 19:40:00,2024-09-16,2
sess_00225,user_0030,2024-09-30 17:54:00,2024-09-30 17:59:00,2024-09-30,5
sess_00226,user_0030,2024-12-05 20:37:00,2024-12-05 20:42:00,2024-12-05,6
sess_00227,user_0030,2024-11-06 16:17:00,2024-11-06 17:17:00,2024-11-06,3
sess_00228,user_0030,2024-11-06 15:14:00,2024-11-06 15:24:00,2024-11-06,7
sess_00229,user_0030,2024-09-27 14:38:00,2024-09-27 15:25:00,2024-09-27,7
sess_00230,user_0030,2024-11-28 20:33:00,2024-11-28 20:51:00,2024-11-28,4
sess_00231,user_0031,2024-12-19 12:34:00,2024-12-19 12:51:00,2024-12-19,4
sess_00232,user_0031,2024-12-04 14:56:00,2024-12-04 15:01:00,2024-12-04,2
sess_00233,user_0031,2024-12-30 14:28:00,2024-12-30 14:37:00,2024-12-30,5
sess_00234,user_0032,2024-09-15 15:27:00,2024-09-15 15:42:00,2024-09-15,3
sess_00235,user_0032,2024-09-01 17:43:00,2024-09-01 17:48:00,2024-09-01,5
sess_00236,user_0032,2024-09-13 16:03:00,2024-09-13 16:38:00,2024-09-13,5
sess_00237,user_0032,2024-11-02 20:18:00,2024-11-02 20:26:00,2024-11-02,4
sess_00238,user_0032,2024-11-05 13:51:00,2024-11-05 13:51:00,2024-11-05,7
sess_00239,user_0032,2024-11-03 14:22:00,2024-11-03 14:40:00,2024-11-03,2
sess_00240,user_0032,2024-10-22 17:05:00,2024-10-22 17:10:00,2024-10-22,7
sess_00241,user_0032,2024-08-13 15:42:00,2024-08-13 17:07:00,2024-08-13,8
sess_00242,user_0032,2024-10-24 14:36:00,2024-10-24 16:01:00,2024-10-24,5
sess_00243,user_0032,2024-09-25 13:31:00,2024-09-25 14:42:00,2024-09-25,6
sess_00244,user_0032,2024-09-24 15:40:00,2024-09-24 15:54:00,2024-09-24,8
sess_00245,user_0032,2024-11-14 20:14:00,2024-11-14 20:14:00,2024-11-14,6
sess_00246,user_0032,2024-12-27 20:33:00,2024-12-27 21:46:00,2024-12-27,5
sess_00247,user_0032,2024-10-20 16:51:00,2024-10-20 17:05:00,2024-10-20,4
sess_00248,user_0032,2024-11-14 12:39:00,2024-11-14 14:18:00,2024-11-14,6
sess_00249,user_0032,2024-12-29 15:13:00,2024-12-29 16:51:00,2024-12-29,7
sess_00250,user_0032,2024-08-19 16:12:00,2024-08-19 17:02:00,2024-08-19,4
sess_00251,user_0032,2024-10-19 14:26:00,2024-10-19 14:35:00,2024-10-19,4
sess_00252,user_0032,2024-10-16 18:10:00,2024-10-16 18:22:00,2024-10-16,4
sess_00253,user_0032,2024-09-11 11:01:00,2024-09-11 11:45:00,2024-09-11,3
sess_00254,user_0032,2024-11-23 14:41:00,2024-11-23 14:47:00,2024-11-23,2
sess_00255,user_0032,2024-09-07 08:16:00,2024-09-07 08:21:00,2024-09-07,8
sess_00256,user_0032,2024-08-25 13:38:00,2024-08-25 13:59:00,2024-08-25,4
sess_00257,user_0032,2024-08-27 14:53:00,2024-08-27 16:15:00,2024-08-27,7
sess_00258,user_0032,2024-12-30 20:59:00,2024-12-30 21:33:00,2024-12-30,6
sess_00259,user_0032,2024-10-23 13:53:00,2024-10-23 14:17:00,2024-10-23,6
sess_00260,user_0032,2024-09-27 12:28:00,2024-09-27 12:30:00,2024-09-27,5
sess_00261,user_0032,2024-09-01 13:34:00,2024-09-01 14:00:00,2024-09-01,5
sess_00262,user_0032,2024-11-06 12:01:00,2024-11-06 13:48:00,2024-11-06,3
sess_00263,user_0033,2024-12-31 12:35:00,2024-12-31 12:36:00,2024-12-31,5
sess_00264,user_0033,2024-12-31 14:00:00,2024-12-31 14:08:00,2024-12-31,5
sess_00265,user_0033,2024-12-31 15:40:00,2024-12-31 16:03:00,2024-12-31,4
sess_00266,user_0033,2024-12-31 15:47:00,2024-12-31 16:03:00,2024-12-31,5
sess_00267,user_0033,2024-12-31 13:26:00,2024-12-31 13:40:00,2024-12-31,6
sess_00268,user_0033,2024-12-31 18:28:00,2024-12-31 18:28:00,2024-12-31,1
sess_00269,user_0034,2024-10-16 18:19:00,2024-10-16 18:23:00,2024-10-16,4
sess_00270,user_0035,2024-10-26 17:43:00,2024-10-26 17:47:00,2024-10-26,5
sess_00271,user_0035,2024-12-24 13:51:00,2024-12-24 14:09:00,2024-12-24,4
sess_00272,user_0036,2024-12-24 17:14:00,2024-12-24 17:26:00,2024-12-24,2
sess_00273,user_0036,2024-10-09 17:40:00,2024-10-09 18:00:00,2024-10-09,3
sess_00274,user_0037,2024-06-03 14:39:00,2024-06-03 15:27:00,2024-06-03,5
sess_00275,user_0037,2024-07-04 17:07:00,2024-07-04 17:15:00,2024-07-04,2
sess_00276,user_0037,2024-09-15 18:31:00,2024-09-15 18:39:00,2024-09-15,2
sess_00277,user_0037,2024-07-09 20:17:00,2024-07-09 20:47:00,2024-07-09,4
sess_00278,user_0037,2024-07-13 17:13:00,2024-07-13 17:35:00,2024-07-13,8
sess_00279,user_0037,2024-07-28 11:39:00,2024-07-28 12:03:00,2024-07-28,5
sess_00280,user_0037,2024-09-19 10:55:00,2024-09-19 11:24:00,2024-09-19,4
sess_00281,user_0037,2024-11-26 17:16:00,2024-11-26 17:43:00,2024-11-26,2
sess_00282,user_0037,2024-06-04 13:59:00,2024-06-04 14:05:00,2024-06-04,3
sess_00283,user_0037,2024-11-09 20:38:00,2024-11-09 20:47:00,2024-11-09,7
sess_00284,user_0037,2024-08-31 18:23:00,2024-08-31 18:24:00,2024-08-31,3
sess_00285,user_0037,2024-07-27 10:32:00,2024-07-27 10:48:00,2024-07-27,5
sess_00286,user_0037,2024-10-04 14:09:00,2024-10-04 14:09:00,2024-10-04,4
sess_00287,user_0037,2024-09-26 12:47:00,2024-09-26 12:58:00,2024-09-26,4
sess_00288,user_0037,2024-12-02 12:33:00,2024-12-02 12:47:00,2024-12-02,4
sess_00289,user_0037,2024-09-24 20:09:00,2024-09-24 20:13:00,2024-09-24,2
sess_00290,user_0038,2024-11-17 10:02:00,2024-11-17 10:12:00,2024-11-17,5
sess_00291,user_0038,2024-12-21 08:28:00,2024-12-21 08:28:00,2024-12-21,4
sess_00292,user_0039,2024-04-21 13:05:00,2024-04-21 13:05:00,2024-04-21,3
sess_00293,user_0039,2024-11-04 12:36:00,2024-11-04 12:57:00,2024-11-04,7
sess_00294,user_0039,2024-03-28 11:49:00,2024-03-28 11:53:00,2024-03-28,5
sess_00295,user_0039,2024-04-20 14:23:00,2024-04-20 14:24:00,2024-04-20,6
sess_00296,user_0039,2024-10-20 15:40:00,2024-10-20 15:48:00,2024-10-20,4
sess_00297,user_0039,2024-10-06 13:46:00,2024-10-06 14:00:00,2024-10-06,3
sess_00298,user_0040,2024-06-20 13:51:00,2024-06-20 13:54:00,2024-06-20,2
sess_00299,user_0040,2024-12-01 14:05:00,2024-12-01 14:24:00,2024-12-01,5
sess_00300,user_0041,2024-08-02 14:49:00,2024-08-02 14:50:00,2024-08-02,5
sess_00301,user_0041,2024-10-10 19:51:00,2024-10-10 19:51:00,2024-10-10,4
sess_00302,user_0041,2024-09-24 16:12:00,2024-09-24 16:26:00,2024-09-24,5
sess_00303,user_0041,2024-10-08 09:48:00,2024-10-08 10:03:00,2024-10-08,5
